feature_id	logFC	AveExpr	t	P.Value	adj.P.Val	B
PROT_ABL1	1.4602827271735	18.6753472514737	4.22225032318209	9.04122633766824e-05	0.000516641505009614	1.20481622872094
PROT_AMD1	1.48917561925998	19.4511241865887	4.45606360486609	4.08905217192113e-05	0.000284455803264079	1.95056784318537
PROT_ARID4A	1.60490824643944	19.8094894063566	4.86334132536543	9.87787590795801e-06	9.35790372423449e-05	3.29146433866069
PROT_ATF5	1.79203529626414	22.4787928899499	5.51176534952604	9.50218687516245e-07	2.17192842860856e-05	5.5123342920757
PROT_ATRX	1.21090100574852	24.2502433177999	3.59093517132169	0.000698119055724477	0.00310275135877545	-0.700626854014883
PROT_AURKA	1.41068493145973	22.3633390111791	4.17757830160643	0.000104997086652621	0.000579294271186873	1.06457529561052
PROT_AURKB	1.69431339476356	18.3842619554957	5.18128692094691	3.16682868881393e-06	3.69726590717076e-05	4.36917034312864
PROT_BARD1	2.01129469997761	19.5152365034023	6.01125778853914	1.49268430916598e-07	9.77461295043082e-06	7.27363451267606
PROT_BCL3	1.89977250804779	17.8534785538148	5.45821740426124	1.15636318356377e-06	2.31272636712755e-05	5.32572639215204
PROT_BIRC5	2.16539826569639	19.2164673088681	6.44565493813514	2.92161131794532e-08	4.67457810871251e-06	8.8276475463086
PROT_BRCA2	1.50481344197615	18.0871251772225	4.41571389828274	4.69493175596812e-05	0.000312995450397875	1.82052010781266
PROT_BUB1	1.53736530675517	19.7554314760414	4.74022819873225	1.52475803631036e-05	0.000128400676741925	2.88103153276383
PROT_BUB3	1.99138689874099	22.0305488443886	5.82058056310139	3.03710026785032e-07	1.21484010714013e-05	6.59732388933305
PROT_CASP8AP2	1.22805463477388	23.1071738133105	3.29665090526631	0.00170879659961222	0.00738939070102581	-1.52500849193467
PROT_CBX1	1.77293069131845	20.2586250177907	5.24949740654647	2.47416654048717e-06	3.29888872064956e-05	4.603367671419
PROT_CCNA2	1.97501158955927	17.9843263814412	5.95627606075734	1.83273992820578e-07	9.77461295043082e-06	7.0781875117027
PROT_CCNB2	0.539181573306529	23.0346084695911	1.62975280286393	0.108809219436296	0.348189502196148	-5.15260606379686
PROT_CCND1	1.66769157287542	20.8852580254671	4.89587504664466	8.80174531222981e-06	9.35790372423449e-05	3.40060306315678
PROT_CCNF	1.69903294095373	20.5202962178742	4.63034165597741	2.23890886189972e-05	0.000170583532335217	2.5183051146517
PROT_CCNT1	1.70729826084651	25.2396120676463	4.66196516215017	2.00525226913187e-05	0.00016042018153055	2.6223290281507
PROT_CDC20	1.11732892647946	23.0153473961162	3.26587468964187	0.00187203190858736	0.00788223961510468	-1.6085684933044
PROT_CDC25A	1.42311163862483	21.3893781960358	4.2324222013515	8.73769437767659e-05	0.000516641505009614	1.23685348131831
PROT_CDC25B	1.85506670270566	21.224938515731	5.62731093017666	6.21106111655614e-07	1.65628296441497e-05	5.91661573653987
PROT_CDC27	1.78577079308556	18.2472851636481	5.17538003989114	3.23510766877442e-06	3.69726590717076e-05	4.34893570114329
PROT_CDC45	1.54492201558024	22.9511069315332	4.30087934744831	6.9373882057614e-05	0.000426916197277624	1.45345111523896
PROT_CDC6	1.87307423887966	23.7819983128909	5.3871856818624	1.49929966567509e-06	2.66542162786683e-05	5.07897073068614
PROT_CDC7	1.92110837108589	18.6676081991799	5.26882358822203	2.30667328400533e-06	3.29888872064956e-05	4.66989842151014
PROT_CDK1	1.62734390482037	21.2983524864081	4.54939896527101	2.96485856220199e-05	0.000215626077251054	2.25343146243951
PROT_CDK4	1.79162004471251	21.2336109261534	5.65600187276049	5.58702697470581e-07	1.65628296441497e-05	6.01732730877217
PROT_CDKN1B	1.02574679923129	21.769777347888	2.79989565369491	0.0070169932881	0.0287876647716923	-2.80629308555435
PROT_CDKN3	1.34707878334206	24.7981507279028	3.7282619860491	0.000453648043082135	0.00226824021541068	-0.301104885944507
PROT_CENPA	1.81873611104266	23.1613654093111	4.77871513882166	1.33180422614463e-05	0.000118382597879523	3.0088923446262
PROT_CENPE	1.38248145731362	20.5266270913504	4.04081466813564	0.000165245493272764	0.00088130929745474	0.640005612506442
PROT_CENPF	1.31618249405545	21.6214760816661	3.69921039315146	0.000497297212472121	0.0023402221763394	-0.386369864924351
PROT_CHAF1A	1.28047369369284	22.1126413914681	3.71730189118114	0.000469665694577609	0.00227716700401265	-0.333318425863133
PROT_CHEK1	1.79611899098354	19.3359733873286	5.27570750059853	2.24975411190893e-06	3.29888872064956e-05	4.69361470529923
PROT_CHMP1A	1.446302707009	21.6186441010352	4.36856945257706	5.51395971382451e-05	0.000352893421684769	1.66926941568369
PROT_CKS1B	1.23659533981452	21.955600373176	3.63127296308412	0.000615610516094034	0.00281421950214415	-0.584209133370058
PROT_CKS2	1.4351269494716	21.2095920451955	3.91501633451369	0.000249261278112005	0.00128650982251357	0.256147756566282
PROT_CTCF	1.56307653796198	20.8721447471239	4.8614921759184	9.94277270699915e-06	9.35790372423449e-05	3.28526943118086
PROT_ADAR	0.144434635067675	21.3797666848804	0.433518886352164	0.666315943383522	0.87385697492921	-6.3463444521507
PROT_APOL6	-0.218813660363175	19.0780373735572	-0.669541894059813	0.505922066442853	0.823243062003962	-6.21789544548951
PROT_ARID5B	-0.26566719342604	19.2862620718809	-0.727024984884256	0.470262085809291	0.800446103505177	-6.17841122976765
PROT_AUTS2	-0.318185505005527	21.2747176459177	-0.890449093839877	0.377063379695929	0.722090585614696	-6.04880988069121
